train/reward_max,time/iterations,time/total_timesteps,time/time_elapsed,train/reward_min,train/reward,train/reward_mean,time/fps,train/explained_variance,train/std,train/learning_rate,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_range,train/entropy_loss,train/value_loss
5.1308537,1,2048,1,-4.6040034,-0.7079285,-0.018723289,1362,,,,,,,,,,,
4.898621,2,4096,3,-4.371631,0.31067067,-0.015899392,1202,0.0072890520095825195,1.0019609928131104,0.0003,10,0.21298828125,-0.0390985104633728,1.6075060367584229,0.017191352,0.2,-41.181560325622556,4.689601320028305
4.9772663,3,6144,5,-4.481947,-0.9071948,-0.019762047,1189,0.05909597873687744,1.0050771236419678,0.0003,20,0.217431640625,-0.02891799057251774,1.5581719875335693,0.019023003,0.2,-41.251817846298216,4.346509057283401
4.798877,4,8192,6,-4.3622937,0.103437275,-0.016836239,1176,0.14651024341583252,1.0075300931930542,0.0003,30,0.24521484375,-0.03159823086461984,1.7155852317810059,0.021081686,0.2,-41.33305945396423,3.9240046739578247
4.834063,5,10240,8,-5.031679,-0.17119709,-0.02022219,1166,0.1758100986480713,1.010509729385376,0.0003,40,0.27236328125,-0.03426974951289594,1.2640981674194336,0.025745485,0.2,-41.41205959320068,3.8376413524150848
4.601798,6,12288,10,-4.4808884,-1.396527,-0.025621856,1159,0.1719050407409668,1.014397382736206,0.0003,50,0.288720703125,-0.02920739385881461,1.2309308052062988,0.024107594,0.2,-41.512194585800174,4.326258265972138
5.40351,7,14336,12,-4.9042816,0.2392251,-0.020773206,1149,0.2097254991531372,1.015196681022644,0.0003,60,0.281494140625,-0.025643608561949804,1.4389581680297852,0.024478275,0.2,-41.569685745239255,3.7838836684823036
4.9352293,8,16384,14,-4.8907275,0.82421124,-0.01171742,1139,0.23570102453231812,1.0167526006698608,0.0003,70,0.301953125,-0.02256479776406195,1.548264503479004,0.026968691,0.2,-41.60583438873291,4.030378058552742
4.9053216,9,18432,16,-4.752013,0.3827221,-0.008789876,1137,0.2541131377220154,1.0190013647079468,0.0003,80,0.274853515625,-0.026618160906946287,1.4666931629180908,0.024806172,0.2,-41.65829272270203,3.7587823763489725
4.974141,10,20480,18,-4.9402227,0.041388605,-0.014757468,1133,0.26033246517181396,1.0203651189804077,0.0003,90,0.28505859375,-0.017300449588219635,2.0529191493988037,0.029231586,0.2,-41.709203481674194,3.732321026921272
4.878809,11,22528,19,-4.8040133,0.4312947,0.0017600799,1130,0.32317864894866943,1.0219789743423462,0.0003,100,0.2376953125,-0.021400570805417372,1.3245434761047363,0.024250835,0.2,-41.75374183654785,3.8445180341601373
5.119913,12,24576,21,-4.8697186,2.528898,-0.0070759957,1126,0.36844730377197266,1.0248435735702515,0.0003,110,0.2880859375,-0.028365734592080118,1.6043827533721924,0.024889998,0.2,-41.81647765636444,3.3419853687286376
5.1205177,13,26624,23,-4.97862,-0.24631767,-0.011808425,1125,0.38949501514434814,1.0246803760528564,0.0003,120,0.256298828125,-0.02474291944236029,1.6371514797210693,0.024261348,0.2,-41.85013244152069,3.6810806810855867
4.6292386,14,28672,25,-5.0526934,-1.4808583,-0.008799529,1126,0.385023295879364,1.0268275737762451,0.0003,130,0.2697265625,-0.02615156697575003,1.49785315990448,0.025280828,0.2,-41.877464818954465,3.6365439921617506
5.0903034,15,30720,27,-4.793776,0.48922396,0.0074318685,1126,0.4108046293258667,1.0293757915496826,0.0003,140,0.2677734375,-0.023707316946820357,0.9010680913925171,0.029221822,0.2,-41.943223452568056,3.375904607772827
4.7264996,16,32768,29,-5.157233,0.06337652,-0.00061434327,1125,0.4709216356277466,1.0293047428131104,0.0003,150,0.2548828125,-0.020171626890078186,1.0484334230422974,0.023308761,0.2,-41.98014855384827,3.06718460470438
4.930624,17,34816,30,-5.020526,-0.4158137,0.0012886561,1124,0.5383138656616211,1.031187653541565,0.0003,160,0.28701171875,-0.024793583346763626,0.49929890036582947,0.02718078,0.2,-42.00089745521545,3.1604920379817485
5.0416007,18,36864,32,-5.2195926,-1.9707228,-0.0018833574,1124,0.5209730267524719,1.034445881843567,0.0003,170,0.3150390625,-0.026396599918371066,1.0971752405166626,0.031008236,0.2,-42.07107763290405,2.9985152304172518
5.167319,19,38912,34,-5.1949453,0.25640717,0.007959772,1124,0.5094021558761597,1.0371655225753784,0.0003,180,0.282958984375,-0.01682498005684465,1.3685312271118164,0.030951485,0.2,-42.16109926700592,3.207176496088505
5.04131,20,40960,36,-5.101863,-0.83586586,0.0034656434,1126,0.543754905462265,1.039647102355957,0.0003,190,0.286572265625,-0.019377080633421428,0.8084622621536255,0.026618233,0.2,-42.231259155273435,3.024417744576931
4.861012,21,43008,38,-5.159809,0.058368772,-0.00045810224,1123,0.5315878689289093,1.0413033962249756,0.0003,200,0.340625,-0.016104789669043384,0.5482478141784668,0.03457944,0.2,-42.29208271503448,2.824162506312132
5.0303807,22,45056,40,-5.2249103,0.77055484,0.0016521567,1124,0.5675666928291321,1.0436102151870728,0.0003,210,0.2947265625,-0.01394975839793915,1.0728394985198975,0.032407325,0.2,-42.342519474029544,3.180149668455124
4.9669456,23,47104,41,-5.017894,-0.5980504,0.0062127183,1126,0.510214775800705,1.0462995767593384,0.0003,220,0.357470703125,-0.020409186434699224,1.2058290243148804,0.041355804,0.2,-42.41439952850342,3.5059443429112433
4.9336414,24,49152,43,-5.143467,-0.76390606,0.009049155,1129,0.5269283056259155,1.0495100021362305,0.0003,230,0.325146484375,-0.019175135871046224,0.8273859024047852,0.03953855,0.2,-42.491233110427856,2.9076168715953825
4.951808,25,51200,45,-4.954499,4.1712165,0.0022618969,1129,0.5326374769210815,1.053186058998108,0.0003,240,0.299072265625,-0.019598765185219236,0.8272342681884766,0.037088748,0.2,-42.58827035427093,2.8378818824887277
5.1065497,26,53248,47,-5.0778084,1.349219,0.014636635,1128,0.5601222217082977,1.0556938648223877,0.0003,250,0.319921875,-0.01602089605294168,1.1361720561981201,0.03270488,0.2,-42.668343496322635,2.8263801276683806
4.9994836,27,55296,48,-5.1667886,0.029943975,0.003862988,1128,0.5834336578845978,1.0588023662567139,0.0003,260,0.308984375,-0.018679525566403753,0.811002254486084,0.030089907,0.2,-42.7518893957138,2.7947070099413396
5.0655985,28,57344,50,-4.922168,-0.41482574,0.01803034,1129,0.5841010808944702,1.062394380569458,0.0003,270,0.352783203125,-0.01330968654656317,0.7752105593681335,0.03918761,0.2,-42.84233045578003,2.6376362964510918
5.1005673,29,59392,52,-5.108362,-0.34235466,0.012486393,1130,0.640018105506897,1.066454529762268,0.0003,280,0.38857421875,-0.012855479496647605,1.0774048566818237,0.04223229,0.2,-42.94932560920715,2.577004796266556
4.597286,30,61440,54,-4.948389,-2.4572933,0.0080775665,1135,0.6749990880489349,1.0695631504058838,0.0003,290,0.3490234375,-0.005350491154240444,0.5184733271598816,0.04448424,0.2,-43.03850769996643,2.424561446160078
5.115549,31,63488,55,-5.0818806,0.9456598,0.007092034,1138,0.6603222191333771,1.0710502862930298,0.0003,300,0.325341796875,-0.015570207854034379,0.3176644444465637,0.029970828,0.2,-43.10940339565277,2.197868663072586
4.792103,32,65536,57,-5.2359767,-0.17889084,0.0014200964,1140,0.6774497330188751,1.0749388933181763,0.0003,310,0.389013671875,-0.015578776155598462,0.39326077699661255,0.03862776,0.2,-43.183879661560056,2.416487891972065
5.2780557,33,67584,59,-5.0919976,-1.9964609,0.012994604,1135,0.7242454290390015,1.0777643918991089,0.0003,320,0.312841796875,-0.017041441932087766,0.444502055644989,0.031165581,0.2,-43.26702308654785,2.330839291960001
4.832566,34,69632,61,-4.9788294,0.99503803,0.008363969,1129,0.7533417642116547,1.081043004989624,0.0003,330,0.363037109375,-0.02471902370452881,0.7564470767974854,0.04217262,0.2,-43.351141691207886,2.282025772333145
5.6486163,35,71680,63,-4.8888497,0.7720151,0.011707071,1120,0.7459166944026947,1.0837551355361938,0.0003,340,0.3193359375,-0.015766464173793793,0.684059739112854,0.030706786,0.2,-43.423644876480104,2.5515578225255013
5.557904,36,73728,66,-5.2011733,-0.34831744,0.015452972,1112,0.6781767308712006,1.0862597227096558,0.0003,350,0.346435546875,-0.011326174048008397,1.1664352416992188,0.03019814,0.2,-43.496445178985596,3.344225235283375
6.2141013,37,75776,68,-5.2556505,-0.36763972,0.007420286,1105,0.722886472940445,1.0876569747924805,0.0003,360,0.345654296875,-0.014241015340667218,1.2212847471237183,0.037665322,0.2,-43.54811203479767,3.1999178141355515
5.2969546,38,77824,70,-5.1328053,-0.069314405,0.014095264,1105,0.7462974488735199,1.0905990600585938,0.0003,370,0.35537109375,-0.011701209008606384,1.3791511058807373,0.034902412,0.2,-43.60426301956177,3.4500182449817656
5.1627107,39,79872,72,-5.021647,-0.70311755,0.014671589,1106,0.7709122449159622,1.0927698612213135,0.0003,380,0.281396484375,-0.01795791478944011,0.8913205862045288,0.027175924,0.2,-43.674539947509764,3.2749198243021964
4.923483,40,81920,74,-5.1805134,-0.4780692,0.016061531,1106,0.7360427677631378,1.0951931476593018,0.0003,390,0.317578125,-0.02002266297931783,0.5984285473823547,0.031699717,0.2,-43.7360780954361,2.600298822671175
